period,value,value-units
2023-12-31,246177,megawatthours
2023-12-30,245247,megawatthours
2023-12-29,252927,megawatthours
2023-12-28,258219,megawatthours
2023-12-27,266461,megawatthours
2023-12-26,257972,megawatthours
2023-12-25,241831,megawatthours
2023-12-24,244129,megawatthours
2023-12-23,242305,megawatthours
2023-12-22,256867,megawatthours
2023-12-21,268046,megawatthours
2023-12-20,274574,megawatthours
2023-12-19,269754,megawatthours
2023-12-18,279553,megawatthours
2023-12-17,263933,megawatthours
2023-12-16,255272,megawatthours
2023-12-15,272039,megawatthours
2023-12-14,275863,megawatthours
2023-12-13,271185,megawatthours
2023-12-12,271082,megawatthours
2023-12-11,270617,megawatthours
2023-12-10,261102,megawatthours
2023-12-09,246922,megawatthours
2023-12-08,270250,megawatthours
2023-12-07,270065,megawatthours
2023-12-06,272883,megawatthours
2023-12-05,261843,megawatthours
2023-12-04,257113,megawatthours
2023-12-03,248149,megawatthours
2023-12-02,252953,megawatthours
2023-12-01,268661,megawatthours
2023-11-30,271964,megawatthours
2023-11-29,266995,megawatthours
2023-11-28,268885,megawatthours
2023-11-27,267561,megawatthours
2023-11-26,242113,megawatthours
2023-11-25,235067,megawatthours
2023-11-24,233257,megawatthours
2023-11-23,229477,megawatthours
2023-11-22,259316,megawatthours
2023-11-21,262804,megawatthours
2023-11-20,255645,megawatthours
2023-11-19,231270,megawatthours
2023-11-18,245206,megawatthours
2023-11-17,258892,megawatthours
2023-11-16,258120,megawatthours
2023-11-15,263647,megawatthours
2023-11-14,243707,megawatthours
2023-11-13,250721,megawatthours
2023-11-12,227278,megawatthours
2023-11-11,232405,megawatthours
2023-11-10,252192,megawatthours
2023-11-09,259045,megawatthours
2023-11-08,257996,megawatthours
2023-11-07,255223,megawatthours
2023-11-06,258566,megawatthours
2023-11-05,249941,megawatthours
2023-11-04,242906,megawatthours
2023-11-03,259484,megawatthours
2023-11-02,264822,megawatthours
2023-11-01,256987,megawatthours
2023-10-31,241455,megawatthours
2023-10-30,253088,megawatthours
2023-10-29,225502,megawatthours
2023-10-28,231338,megawatthours
2023-10-27,249941,megawatthours
2023-10-26,251161,megawatthours
2023-10-25,259947,megawatthours
2023-10-24,255708,megawatthours
2023-10-23,260024,megawatthours
