period,stateid,stateDescription,sectorid,sectorName,sales,sales-units
2024-01,CA,California,ALL,all sectors,20040.74935,million kilowatt hours
2023-12,CA,California,ALL,all sectors,18660.12634,million kilowatt hours
2023-11,CA,California,ALL,all sectors,18479.20564,million kilowatt hours
2023-10,CA,California,ALL,all sectors,20390.47299,million kilowatt hours
2023-09,CA,California,ALL,all sectors,22466.03859,million kilowatt hours
2023-08,CA,California,ALL,all sectors,25101.55563,million kilowatt hours
2023-07,CA,California,ALL,all sectors,23048.26218,million kilowatt hours
2023-06,CA,California,ALL,all sectors,19333.43379,million kilowatt hours
2023-05,CA,California,ALL,all sectors,18288.412,million kilowatt hours
2023-04,CA,California,ALL,all sectors,16261.33366,million kilowatt hours
2023-03,CA,California,ALL,all sectors,19506.41869,million kilowatt hours
2023-02,CA,California,ALL,all sectors,17440.48579,million kilowatt hours
2023-01,CA,California,ALL,all sectors,20504.70675,million kilowatt hours
